mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	2.5%	97.5%	group	country
1.2211866475	1.220555	0.0182973233190219	0.018473196	1.192068	1.2519205	1.00057923757792	12947.7798784558	5180.73620176503	1.18696975	1.2578005	XBB	Denmark
1.235602235	1.23561	0.0114384213821331	0.0112974120000003	1.216849	1.2543705	1.00012261044568	12052.2411140329	5458.20004623926	1.21298975	1.25851025	XBB.1	Denmark
1.0989199125	1.09885	0.0061099092048209	0.00612313799999995	1.089	1.10906	1.00038241925638	9526.43909209878	6804.82059206507	1.08714	1.11084	BA.2.75	India
1.335284315	1.32597	0.0844026037841634	0.0817060859999997	1.21425	1.486741	1.0001167797873	9714.68511377512	5731.71853758559	1.1966875	1.52523475	BQ.1	India
1.244224314875	1.241045	0.0944556180679837	0.074226369	1.1072535	1.393292	1.00003604979756	9405.89591920432	5061.28031167319	1.06739775	1.4497845	BQ.1.1	India
1.3201460975	1.31997	0.011442691473994	0.0115198020000001	1.3018185	1.3392705	1.00011237228948	8996.45833667093	5522.30806567144	1.29810975	1.34306125	XBB	India
1.40630131875	1.40605	0.0211736238553252	0.0209639640000001	1.37251	1.4412525	1.00024260187266	10043.7117921394	6121.80538028703	1.36598925	1.448702	XBB.1	India
1.2032400525	1.20315	0.01030974991162	0.010244766	1.1866895	1.2208505	1.00057582690992	9931.68754118996	6160.75877743964	1.18368975	1.2241215	BA.2.75	Indonesia
1.29935191125	1.29887	0.0160497791693857	0.0160417320000001	1.27361	1.3261705	1.00006156321377	9265.32399784553	5540.55981242797	1.26932975	1.3316725	BQ.1	Indonesia
1.32775091375	1.32724	0.0190264533063374	0.018740064	1.2976685	1.3602305	0.999884521412225	9552.46758700364	6321.79083292928	1.29175825	1.365542	BQ.1.1	Indonesia
1.3735654275	1.373075	0.0178642860599521	0.017731896	1.3451795	1.403691	1.00103726196799	9545.40996311621	6072.14704690281	1.340157	1.410262	XBB	Indonesia
1.4673869975	1.466385	0.0297247848304095	0.029296176	1.419579	1.517362	1.00013952529062	8737.59999829912	5634.04155666203	1.4112095	1.52755025	XBB.1	Indonesia
1.0875329925	1.0875	0.00445130032735034	0.00450710400000023	1.08033	1.09493	1.00018315259113	10514.2443895017	5724.24367856066	1.07908	1.09632	BA.2.75	Israel
